UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment
3935,48887,The Great State of Texas,2020-03-16,"?CONSUMER PROTECTION ALERT? 

Be aware of #coronavirus related cyber security scams!
Â Do NOT reveal personal or financial info in emails.
Â AVOID clicking on unsolicited links.
Â Use trusted sources, ALWAYS.
Report attacks! Need to file a complaint?
https://t.co/XWDm4JWZo0",Negative
3938,48890,"Phoenix, AZ",2020-03-16,I feel like I won the #lottery just now. How much is this worth on the #stockmarket #toiletpaper #Arizona #coronavirus #StopPanicBuying #FoxNews #fox10phoenix https://t.co/PLJCt49ik7,Extremely Positive
3939,48891,"Columbus, Ohio",2020-03-16,"it's a bad habit i'm definitely guilty of but all OR/hospital staff definitely need to avoid wearing #scrubs in public. especially now, nobody wants to see that at the grocery store! ?#covid19 #Medtwitter #coronavirus",Negative
3945,48897,Arizona,2020-03-16,"I am hearing the National quarantine is going to start on Wednesday the 18th.  They said stock up on essentials, food and ammo.  ?  They believe this is going to get ugly. #coronavirus #covid19 #nationalquarantine",Negative
3949,48901,"Denver, CO",2020-03-16,"How come #TrumpIsAnIdiot or #trumpneedstoshutup is not trending?? For real!! People are freaked, stores canÂt keep food on their shelf, and the stock market is out of control. @realDonaldTrump please for the sake of the county shut up. #coronavirus",Neutral
3951,48903,"North Carolina, USA",2020-03-16,"I would list a plethora of ÂTo DoÂsÂ, but unfortunately my day jobs are in health care and supermarket retail. So while everyone is bucking down, IÂll be out taking care of the sick and feeding the hungry.
#coronavirus #COVID2019 #StaySafe #frontlines",Positive
3965,48917,"Los Angeles, CA",2020-03-16,Actual footage of me trying to go to the grocery store this weekend. IÂm not sure what yÂall doing with all the toilet paper but please remember weÂre all in this together. #panicbuyers #coronavirus https://t.co/73WwtXqvT3,Positive
3972,48924,"Chicago, IL",2020-03-16,https://t.co/r9skYbYiHt CALLING SMALL BUSINESSES: Chicago's Department of Business Affairs &amp; Consumer Protection (BACP) is soliciting your feedback to develop resources and measures to support small businesses that have been impacted by COVID-19. Please fill out this survey ASAP.,Extremely Positive
3974,48926,"Pennsylvania, USA",2020-03-16,What 2K Consumers Told PYMNTS About How COVID-19 Changed Their Daily Lives - https://t.co/hG5vYrH02L,Neutral
3978,48930,"Philadelphia, PA",2020-03-16,Is it safe to work here amid coronavirus? https://t.co/hmqwl0JCo8 via @phillyinquirer,Positive
3980,48932,"New York, NY",2020-03-16,@Nordstrom Rack stores making efforts in Washington St market to drive store sales this weekend $JWN #retail #retailapocalypse2020 #coronavirus #retailnews https://t.co/9dfkB2NuCr,Neutral
3986,48938,"Ohio, USA",2020-03-16,"Casper Provides Business Update On COVID-19 - https://t.co/ZS6NpEF9Vz YORK--(BUSINESS WIRE)--Casper Sleep Inc. (ÂCasperÂ or the ÂCompanyÂ) (NYSE: CSPR) today provided an update on its North America retail store operations in response to the continued spread of COVID-19.

In l... https://t.co/0oAHf51FtI",Neutral
3989,48941,London | New York | Munich,2020-03-16,"""I already stocked up on food. Ammo was just the next step."" 

Sorry America, you can't shoot your way out of #coronavirus 

https://t.co/VnVJKDkBxM",Negative
3995,48947,Commonwealth of Massachusetts,2020-03-16,"&gt;@MassGovernor announces $10M loan fund administered by @MassGCC to provide financial relief up to $75k to MA-based businesses, including nonprofits, with &lt;50 full- &amp; part-time employees impacted by #COVID19. #MAbiz

Release: https://t.co/nxrDH25i8r
Apply: https://t.co/w2VJdOwRcg https://t.co/sP6sTraxLQ",Extremely Positive
3996,48948,"Dallas, TX",2020-03-16,"All the pasta, pasta sauce and pizza were sold out at the grocery store. Did everyone in Dallas become Italian grandmas? #Dallas #coronapocolypse #COVID2019",Neutral
4006,48958,"Virginia, USA",2020-03-16,An important update for our fans regarding COVID-19 and our retail store in Occoquan. #mandrilltoys #covid19 #coronavirus https://t.co/oPBmwc1qI1,Positive
4008,48960,"Arizona, USA",2020-03-16,How about free delivery and no service fee for seniors ordering online?&gt;&gt;&gt;&gt;&gt;&gt; La Habra supermarket offers special hours for shoppers 65 and older amid COVID-19 crisis https://t.co/4wQE7vzr3M,Extremely Positive
4028,48980,"Missouri, USA",2020-03-16,"Hyvee always thanks itÂs shoppers for shopping. Hyvee, Sunday, March, 15, 2020, in Blue Springs, Missouri. However, as COVID-19 develops will shoppers begin to take advantage of online and delivery forms of obtaining their every day needs? https://t.co/yKgrv3vBPQ",Positive
4033,48985,"Florida, USA",2020-03-16,No toilet paper at my local grocery store for almost a week now?!! What is the real crisis in south Florida ?  #toiletpaper? Or the #coronavirus? https://t.co/PPlOCvB8To,Extremely Negative
4034,48986,"California, USA",2020-03-16,With the Coronavirus going out and shopping for groceries might not be the best Check out this list of great online alternatives that deliver right to your door,Positive
4035,48987,"San Diego, CA",2020-03-16,"What's a good way to support grocery store, medical, and hospital staff during this time? I would normally think of something along the lines of ordering everyone pizza, but that doesn't seem like a great idea about now... #COVID2019 #COVID19 #COVID?19",Extremely Positive
4041,48993,"Chicago, IL",2020-03-16,"Good read for those worried about or participating in grocery store runs during #coronavirus. In an era of lean, it's difficult to accommodate huge discrete surges in demand at stores, but the supply chain is still strong. via @nytimes :  https://t.co/6Tt8TQL1SD",Extremely Positive
4042,48994,Chicago,2020-03-16,"In an unprecedented move for US retailers, many are opting to indefinitely shut their doors to prevent the spread of the novel #coronavirus in the US.Â Others like Walmart are reducing their hours. #retail  https://t.co/6S6KGQbT6B",Positive
4044,48996,New York City - Philippines,2020-03-16,Just got home from the supermarket. Panic buying is real. And it was in the middle of the afternoon. Bet the queues will be longer after work hours ? #COVID2019 #COVID?19,Negative
4049,49001,Dublin-Gray-Gordon-Houston Co-Statesboro-Brooklet,2020-03-16,"Tips to Stay Fraud Free During COVID-19 Attempts! 

For more information from the Federal Trade Commission, visit https://t.co/Kr5zTEJFgG https://t.co/SMivHMt66m",Negative
4053,49005,"Granby, Colorado",2020-03-16,"MPE prepared to continue providing safe and reliable electric service, adopts COVID-19 consumer and employee safety measures. READ MORE: https://t.co/eXnYpE4gEx https://t.co/GnjqUgg05t",Extremely Positive
4057,49009,"Arizona, USA",2020-03-16,"IÂm getting personal... IÂm not one to allow this #coronavirus hysteria panic or change my home life. So I went to the grocery store to do my normal shopping and IÂm beyond disappointed in humanity.

Please stop and think.",Extremely Negative
4058,49010,"Fairfax, Virginia",2020-03-16,"""The panic shopping for #coronavirus planning doesnÂt end with food, water and toilet paper. Some consumers are also panic shopping for life insurance.""

#StayInformed #StayConnected #NAILBA2020

https://t.co/maT278EOxx",Extremely Negative
4060,49012,"New York, NY",2020-03-16,Social distancing to prevent the spread of coronavirus could have devastating effect on people with depression. https://t.co/rlJ1MaaxgI,Extremely Negative
4064,49016,"Los Angeles, CA",2020-03-16,Northgate Market is allowing Seniors to shop first before they open to the public! Details here! --&gt; https://t.co/SP21HGAlpY https://t.co/kjzApOAFJ2,Positive
4080,49032,"San Francisco, CA",2020-03-16,"#stopthespread ""Research has shown that the faster authorities moved to implement the kinds of #socialdistancing measures designed to slow the transmission of disease, the more lives were saved."" Great read via @NPR ?? https://t.co/0QcNWNSwgm",Extremely Positive
4081,49033,"Denver, CO",2020-03-16,"It amazes me...I go to the supermarket and everything is gone, people are panic buying, yet not one single person was wearing a facemask. Buying 200 rolls of toilet paper won't prevent you from catching #COVID2019. Take proper precautions and stay safe. https://t.co/lNoF0xfsx4",Extremely Positive
4083,49035,Tennessee ,2020-03-16,Going to the grocery store made me panic more than anything. The scarcity of resources. We do not need to hoard food like this. I saw a woman with 9 gallons of milk in her buggy. The eggs were gone. Bread aisle was demolished. #CoronavirusOutbreak #coronavirus #coronapocolypse,Negative
4087,49039,"New York, NY",2020-03-16,"COVID-19 pandemic and plunging global financial markets drove consumer confidence today to two-year low, according to @MorningConsult survey https://t.co/L3qCsEzXAA https://t.co/C5BUrZIZun",Positive
4088,49040,"California, USA",2020-03-16,"Apple has closed all retail locations outside China until March 27th, but has reopened all 42 Apple Store locations within greater China

https://t.co/I0m2kxnkY3

#Apple #retail #AppleStore #coronavirus #health #closing #quarantine #China #GreaterChina",Positive
4092,49044,"Chicago, IL",2020-03-16,On #OWHealth: Times of turmoil allow for the formation of deeper relationships between insurers and members and society at large &gt; https://t.co/531eBvhnPR #OWCovid19 #COVID19 #coronavirus https://t.co/w8Hfv7YsBX,Positive
4097,49049,"Washington, D.C.",2020-03-16,"Anthony Fauci said that while some people may perceive the new coronavirus guidelines as inconvenient or going too far, they reflect a deteriorating assessment of the containment efforts and should be taken seriously.

""It isnÂt an overreactionÂ
https://t.co/gp65SNkBiw https://t.co/oPNIGTT6Zt",Negative
4098,49050,"Washington, D.C.",2020-03-16,"BREAKING: The Centers for Disease Control recommended that Americans cancel or postpone gatherings of 50 or more people for the next eight weeks.

It's the most aggressive federal guidance issued yet in response to the coronavirus outbreak 
https://t.co/JWrEOWLadW",Negative
4101,49053,"Boston, MA",2020-03-16,"PYMNTS surveyed 2K consumers about how COVID-19 has already changed their daily lives. @karenmpd dives into the results: https://t.co/og7fp8IEIY 

#coronavirus #covid19 https://t.co/DPikTnl6Xj",Neutral
4102,49054,"Washington, DC",2020-03-16,"People arenÂt worried about ventilators we are worried about losing income, our homes, food, our LIVES! Stop bailing businesses out, who cares about the stock market in these times.. take care of our people. #Coronavirus",Negative
4119,49071,"Maryland, USA",2020-03-16,"#energytwitter Any takes on the impact of (1) oil price collapse; &amp; (2) fall in energy use from #Covid_19 on natural gas prices? Should we expect (a) over production and price drop, crushing coal use? or, (b) fall in production, price rise and shift to other fuels for power?",Negative
4130,49082,"Altus, Arkansas USA",2020-03-16,"Response to COVID-19 (Novel Coronavirus)

Post WineryÂs retail store, including The Trellis Room, will be CLOSED to the public Monday, March 16. Further closure or limited hours will be announced the following week, Mon.Mar.23rd. POST Wine available at local stores. Be well? https://t.co/e9WSaIP3mf",Positive
4133,49085,"New York, NY",2020-03-16,"Panic grocery shopping is not necessary and has put more people at risk. 

We talked to several supermarket employees, some of them elderly, who are worried about their own health as customers crowd their stores. 
https://t.co/emOKMbCnot",Extremely Negative
4134,49086,Michigan,2020-03-16,"Some #foodsafety tips during the #coronavirus outbreak, including those immunocompromised should opt for pre-packaging fruits and vegetables. https://t.co/fbbqOigShy",Neutral
4136,49088,"Washington, D.C.",2020-03-16,"In the wake of COVID-19, we are working with agencies to secure access to allotments and ensure get cattle and sheep get to market and to consumer plates. Additional details will be shared as they become available. Please reach out with questions or concerns.",Extremely Positive
4151,49103,"Washington, DC",2020-03-16,"@jack @CDCgov What are big box retailers going to do with the 60 or less rule/suggestion. Many of those stores have 60 employees alone , before the customers enter there store..?? #coronavirus #Retail",Negative
4157,49109,"San Francisco, CA",2020-03-16,"I know. Like a lot of you, IÂm kind of freaked out and nervous too. But then I remember...this is to protect us. And this is why this kind of extreme measure works as told through stick figures, sound effects  and my own voice: https://t.co/vPNJY2ZNrx",Positive
4159,49111,"New York, NY",2020-03-16,AdobeExpCloud: Some online shopping behaviors have surged by 800+% in the last few weeks. Here are the trends and takeaways from 80 of the top 100 US retailers: https://t.co/rHogkhuZfi,Positive
4160,49112,Chicago,2020-03-16,"How US consumers and industries including food and drink, beauty, retail, and health and wellness are reacting to the COVID-19 pandemic. https://t.co/ZM5gjzxeZc via @mintelnews",Extremely Positive
4169,49121,"Portland, Oregon",2020-03-16,"Wow PEOPLE! My daughter works retail and her store is still open, barely. Today a woman yelled at daughter for standing too close to her child. HEY, how about keeping your kid at fucking home LADY! 

This Covid-19 shit has made people assholes, stupid and just vile.",Extremely Negative
4174,49126,"Austin, Texas",2020-03-16,"Hoarders: Americans #stockup on #supplies as #virus #fear 
#spreads https://t.co/dzlmQ78vwo

#living #offgrid #escape #coronavirus #pandemic https://t.co/CBfxwUN4qD",Neutral
4178,49130,"San Francisco, CA",2020-03-16,"This is how I look at it. ItÂs like when my father would put me on restriction. I can still go to the bank, grocery store and gas station, but I can not hang out at Del Taco or play with my friends. This will pass and we will be more diligent and appreciative after! #coronavirus https://t.co/ZpAaXeIJ1k",Extremely Positive
4183,49135,New York City Area,2020-03-16,"@TODAYshow Consumer reporter Vicky Ngyuen IS NOT qualified to answer medical questions, from Facebook or anywhere, regarding the #coronavirus #JustSayin",Neutral
4185,49137,"Virginia, USA",2020-03-16,"After being out of town for the past 5 days I am struggling to stock our fridge with the essentials, just to get my family through the week. We empty our fridge before a trip so food doesnÂt go to waste. IÂm speechless.  #coronavirus #QuarantineLife",Extremely Negative
4199,49151,"San Francisco, CA",2020-03-16,"PROVIDERS: If you feel sick, or your Consumer feels sick, you should seek medical advice and attention. Please call your Consumer's IHSS social worker if you are unable to work #coronavirus #IHSS #SanFrancisco",Extremely Negative
4211,49163,"Washington, DC",2020-03-16,"The NYT looked yes/no at whether workers had sick leave last year. We took a dive into what the top 20 restaurants are offering during the COVID-19 outbreak, and it isnÂt pretty. https://t.co/e2ZNXajPre https://t.co/QrXLf3OBzJ",Positive
4212,49164,"Washington, DC",2020-03-16,"@nytopinion @McDonalds @SUBWAY @ChickfilA @CrackerBarrel @Outback @Cheesecake You asked the workers, we asked the restaurants! HereÂs what the top 20 are offering during the outbreak (hint: itÂs not good): https://t.co/e2ZNXajPre",Negative
4213,49165,"Washington, DC",2020-03-16,"@Ryan_Holdaway We had the same thought, so here it is!: https://t.co/e2ZNXajPre",Neutral
4214,49166,"Washington, DC",2020-03-16,@HarrySteinDC Felt the same way! So we put this list  together for the top 20 chains. (Get ready to severely restrict your options): https://t.co/e2ZNXajPre,Negative
4219,49171,"Boston, MA",2020-03-16,"[THREAD] China's role in wildlife trade should come under greater scrutiny. Whether pushing entire species to the brink of extinction or running animal farms for endangered species, PRC is the principal consumer in the wildlife trade. #coronavirus #COVID?19  1/4 https://t.co/1JLmxcFNin",Positive
4220,49172,New York ,2020-03-16,"#Quarantine #coronavirus #Elderly #Food @cnnhealth @bbchealth When people are asked to Quarantine for 7-14 days, they are right away homebound. Not everyone has access to supplies or know online shopping. Many are old, alone, sick without help. We/Govt. need to think about this.",Extremely Negative
4221,49173,"Washington, DC & Cambridge, UK",2020-03-16,"Modeling study suggests stealth transmission of SARS-CoV2 due to a high number of contagious, undocumented infections supported rapid geographic spread of #coronavirus outbreak in China. https://t.co/KoVPQ38nX5 https://t.co/TVA9gJmn1o",Neutral
4229,49181,Indiana,2020-03-16,As this #coronavirus goes on or gets worse I do foresee people maxing out their credit cards to buy food &amp; etc out of panic buying &amp; having no intention of paying back these credit card loans @federalreserve.People were already stretching it before this crisis #Economics #Finance,Extremely Negative
4243,49195,"Benton, Arkansas ",2020-03-16,My coronavirus Dinner Plan till the end of the month. Kid Friendly Picky Eater Approved. #coronavirus #mealplan #mealprep #stockup #coronapocolypse #HowToKeepPeopleHome #Covid_19 #schoolclosure #QuarantineLife https://t.co/PL7S0gonuy,Extremely Positive
4247,49199,New York,2020-03-16,"I know a lot of grocery stores are low on stock of some items. If you need something right away, try the Dollar Store, bodegas, 7-11, drug stores or ask friends/neighbors. I found some things the grocery store was sold out of at the Dollar Store yesterday. #coronavirus",Positive
4251,49203,New York City,2020-03-16,"Covid-19 is changing consumer purchase habits rapidly and globally. The good news is there are patterns to their actions. As the U.S. transitions from pantry prep to quarantine prep, are you ready? #coronavirus #supplychainmanagement
https://t.co/FPhpnlpJyE",Extremely Positive
4254,49206,"Kansas City, MO",2020-03-16,"FMI highlights coronavirus is not foodborne, ensures US food supply

While the coronavirus (COVID-19) has sparked consumer concern over fresh foods, FMI Â The Food Industry Association is stressing that COVID-19 is not a foodborne illness.

https://t.co/veB911ptjs",Positive
4255,49207,"New York, NY",2020-03-16,"Nike, Urban Outfitters and Under Armour are just a few of the retailers closing stores amid the rapidly spreading coronavirus pandemic.

https://t.co/do2S0Y76Cg

#coronavirus",Neutral
4259,49211,"Seattle, WA",2020-03-16,"A technical glitch at #Amazon is wreaking havoc on #WholeFoods, Prime Now and #amazonfresh orders tonight, as panic-buying through the #coronavirus outbreak highlights the limits of Amazon delivery: https://t.co/D2RohkH5o4",Extremely Negative
4264,49216,"Biloxi, Mississippi",2020-03-16,@NewsCarolyn Well it happened tonight; I received a message from Walmart Grocery Support informing me that there will be no pickup or delivery of groceries available from my store for the next week.  I'm glad I managed to get my small order delivered toda,Extremely Positive
4273,49225,"Maine, USA",2020-03-16,"When stocking up for #SocialDistancing, if an item has a WIC symbol beside the price, get something else. People who use WIC to feed their kids can't switch to another brand or kind of food. If a store runs out of WIC-approved options, they will go home empty-handed.
#mepolitics https://t.co/oFRts6Rcbc",Positive
4275,49227,"Kansas City, Missouri",2020-03-16,"While coronavirus (COVID-19) has sparked some consumer concern over fresh foods, @FMI_ORG @FMI_FoodSafety is stressing that COVID-19 is not a foodborne illness. 

@CDCgov #coronavirus #covid19 #foodsafety #foodindustry 
https://t.co/MdsyrJLx0t",Positive
4276,49228,"Avon, Ohio",2020-03-16,"Links with info on communicating with children regarding COVID-19.
https://t.co/ODqyKkqHID   

https://t.co/I9jHHyeKlE  

https://t.co/5CdPWhofL1  

managing stress
https://t.co/0p5OSy3t5e  

How to talk to kids
https://t.co/dGv1uZIfDd",Negative
4280,49232,"Brookfield, Illinois",2020-03-16,There are many concerns surrounding grocery store stock during the coronavirus pandemic ORG President and CEO Leslie Sarasin has reassuring information about the resilience of the grocery store supply chain,Positive
4284,49236,San Francisco,2020-03-16,Amazon delivery infrastructure strained as COVID-19 outbreak sparks surge in online shopping (Monica Nickelsburg/GeekWire) https://t.co/WqMKVdZyyX,Negative
4293,49245,"Texas, USA",2020-03-16,Student resources during COVID-19 https://t.co/edjUfnzT8Y,Neutral
4300,49252,"Detroit,MI USA",2020-03-16,Consumers Energy is suspending service shutoffs for senior citizens and low income customers because of the COVID-19 outbreak. https://t.co/I07b93XPmR,Neutral
4301,49253,"Naples, Florida",2020-03-16,"""Amazon is hiring an additional 100,000 employees in the U.S. to meet the surge in demand from online shopping amid the #coronavirus outbreak, the company said Monday."" #jobs https://t.co/brddGC1C9E",Positive
4305,49257,"Washington, DC",2020-03-16,NEW: Coronavirus package hits roadblocks amid GOP opposition https://t.co/bCZaS0UTs5 https://t.co/jPa92hvSmI,Neutral
4308,49260,New York,2020-03-16,"People are shopping online instead of visiting brick and mortar stores these days. Is your store ready to weather the storm? We're an easy e-commerce solution, tailor-made for specialty running stores https://t.co/zQgw9ZsqzX ???????? #ecommerce #shoplocal #coronavirus https://t.co/zhDlAE25CB",Extremely Positive
4310,49262,"Washington, D.C.",2020-03-16,"""We're appealing to ALL Americans to take these steps, to protect each other, and to ensure that the virus doesn't spread."" https://t.co/oceDVp3XxR",Extremely Positive
4316,49268,"Dallas, TX",2020-03-16,Prelim March data from Univ of Michigan shows the Consumer Sentiment Index falling 5.0%. Additional decline is likely as COVID-19 accelerates. #ThinkWhyItMatters,Negative
4322,49274,"Pennsylvania, USA",2020-03-16,#helpers not #nurses or #Doctor but I am a grocery &amp; delivery shopper me/co-workers have been been verbally assaulted a lot of the last week over store outages if you are going to continue to do this at least tip for the services you're getting #COVID?19 #coronavirus,Extremely Negative
4326,49278,San Francisco Bay Area,2020-03-16,"Dropped by Trader JoeÂs to pick up some salads since IÂm working from home this week...all of my fave salads were in stock, but when I went down the frozen food section, the entire aisle was completely EMPTY (no exaggeration)...except for the desserts #traderjoes #coronavirus ? https://t.co/67j2KAiCHe",Extremely Negative
4327,49279,"Washington, DC",2020-03-16,"@annelies_goger: Low-income adults typically cannot afford to stock up on food. Federal, state, &amp; local responders need to consider targeted solutions -- like @CEXAlsobrooks has implemented in Prince George's County, MD -- during the COVID-19 crisis. ",Negative
4328,49280,Southeastern Pennsylvania,2020-03-16,"Markets tank globally. I think trading should be halted, prices fixed in place, and all accounts frozen till cases drop to nothing. Phase it back In slowly. #COVID19 #Covid_19",Negative
4331,49283,"San Francisco, CA",2020-03-16,"Look where somebody #Parked at #Safeway here at #Oakland 
#ParkingLot #lol #coronavirus #stockup #apocalypse2020 https://t.co/oorfCF2I7T",Neutral
4340,49292,New York ,2020-03-16,"FTC posts coronavirus information -- 
https://t.co/l6j9ysAKSk

FDA Posts Coronavirus Disease 2019 (COVID-19) infromation -- https://t.co/yqMgoP7x5E

Stay Safe",Positive
